prime,word_index,kernel_length,full_scalar_identity,full_delta_match,strict_visible_x_power,strict_block_length,has_proper_non_scalar_precursor,has_any_prefix_power_hit,min_proper_prefix_power_hit,min_any_prefix_power_hit,num_proper_prefix_power_hits,num_prefix_power_hits,factor_period_length,source_class,sources,kernel_factor_ids
5,11,65,True,False,False,,False,True,,65,0,1,65,BraidZero,braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica0_shard6_task7/candidates.jsonl:1|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica0_shard6_task7/candidates.jsonl:2|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica0_shard6_task7/candidates.jsonl:3|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica0_shard6_task7/summary.json|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica1_shard6_task23/candidates.jsonl:1|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica1_shard6_task23/candidates.jsonl:2|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica1_shard6_task23/candidates.jsonl:3|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica1_shard6_task23/run_ledger.jsonl:1|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica1_shard6_task23/summary.json,2 16 13 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 7 7 21
5,12,65,True,False,False,,False,True,,65,0,1,65,BraidZero,braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica0_shard14_task15/candidates.jsonl:1|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica0_shard14_task15/candidates.jsonl:2|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica0_shard14_task15/candidates.jsonl:3|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica0_shard14_task15/run_ledger.jsonl:1|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica0_shard14_task15/summary.json|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica1_shard14_task31/candidates.jsonl:1|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica1_shard14_task31/candidates.jsonl:2|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica1_shard14_task31/candidates.jsonl:3|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica1_shard14_task31/run_ledger.jsonl:1|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica1_shard14_task31/summary.json|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica2_shard14_task47/summary.json|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica3_shard14_task63/summary.json,2 16 13 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 7 7 21
5,13,65,False,True,False,,False,False,,,0,0,65,BraidZero,braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica0_shard12_task13/candidates.jsonl:1|braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:140|braids-summer-research/results/paper_exact_search/kernel_bank/p5_paper_kernels.jsonl:3,7 7 10 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 16 16 16
5,14,65,False,True,False,,False,False,,,0,0,65,BraidZero,braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica0_shard12_task13/candidates.jsonl:2|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica1_shard12_task29/candidates.jsonl:1|braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:142|braids-summer-research/results/paper_exact_search/kernel_bank/p5_paper_kernels.jsonl:5,7 7 10 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 16 16 16
5,15,65,True,False,False,,False,True,,65,0,1,65,BraidZero,braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica0_shard12_task13/candidates.jsonl:6|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica0_shard12_task13/candidates.jsonl:7|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica0_shard12_task13/candidates.jsonl:8|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica0_shard12_task13/run_ledger.jsonl:1|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica0_shard12_task13/summary.json,10 2 13 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 7 21 10
5,16,65,True,False,False,,False,True,,65,0,1,65,BraidZero,braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica3_shard12_task61/summary.json,10 16 13 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 7 7 10
5,17,65,True,False,False,,False,True,,65,0,1,65,BraidZero,braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica0_shard12_task13/candidates.jsonl:3|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica0_shard12_task13/candidates.jsonl:4|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica0_shard12_task13/candidates.jsonl:5|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica0_shard12_task13/summary.json|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica1_shard12_task29/candidates.jsonl:2|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica1_shard12_task29/candidates.jsonl:3|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica1_shard12_task29/candidates.jsonl:4|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica1_shard12_task29/run_ledger.jsonl:1|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica1_shard12_task29/summary.json|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica2_shard12_task45/summary.json|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica3_shard12_task61/summary.json,16 16 13 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 7 7 7
5,18,65,True,False,False,,False,True,,65,0,1,65,BraidZero,braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica1_shard4_task21/candidates.jsonl:1|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica1_shard4_task21/candidates.jsonl:2|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica1_shard4_task21/candidates.jsonl:3|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica1_shard4_task21/run_ledger.jsonl:1|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica1_shard4_task21/summary.json|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica2_shard4_task37/candidates.jsonl:1|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica2_shard4_task37/candidates.jsonl:2|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica2_shard4_task37/candidates.jsonl:3|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica2_shard4_task37/summary.json,16 16 13 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 7 7 7
5,19,65,False,True,False,,False,False,,,0,0,65,BraidZero,braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica0_shard8_task9/candidates.jsonl:1|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica0_shard8_task9/summary.json|braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:141|braids-summer-research/results/paper_exact_search/kernel_bank/p5_paper_kernels.jsonl:4,21 7 10 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 16 16 2
5,20,65,False,True,False,,False,False,,,0,0,65,BraidZero,braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica0_shard8_task9/candidates.jsonl:2|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica1_shard8_task25/candidates.jsonl:1|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica1_shard8_task25/summary.json|braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:143|braids-summer-research/results/paper_exact_search/kernel_bank/p5_paper_kernels.jsonl:6,21 7 10 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 16 16 2
5,21,75,False,False,False,,False,False,,,0,0,75,CRISPR,braids-summer-research/results/crispr_transformer/p5/guided_repair_seed1/kernel_hits.json[0],7 7 10 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 16 16 16 16 13 8 12 6 8 3 1 1 4
5,22,105,False,True,False,,False,False,,,0,0,105,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:144|braids-summer-research/results/paper_exact_search/kernel_bank/p5_paper_kernels.jsonl:7,22 13 20 13 20 16 12 8 13 7 20 15 20 2 16 2 13 11 2 16 3 4 13 7 11 19 7 4 13 8 16 13 4 13 20 13 20 13 7 7 10 16 2 13 1 4 13 4 13 7 20 14 17 16 13 20 13 20 17 13 21 7 10 16 16 13 4 13 4 13 11 13 7 11 13 20 16 12 8 16 13 20 15 7 21 4 13 21 7 21 4 3 4 16 13 11 19 7 4 13 18 9 4 13 1
5,23,132,False,True,False,,False,False,,,0,0,132,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:145|braids-summer-research/results/paper_exact_search/kernel_bank/p5_paper_kernels.jsonl:8,7 7 10 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 16 16 16 13 7 7 10 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 16 16 16 13
5,24,197,True,False,False,,False,True,,197,0,1,197,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:146|braids-summer-research/results/paper_exact_search/kernel_bank/p5_paper_kernels.jsonl:9,7 7 10 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 16 16 16 13 7 7 10 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 16 16 16 13 7 7 10 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 16 16 16
5,25,197,True,False,False,,False,True,,197,0,1,197,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:147|braids-summer-research/results/paper_exact_search/kernel_bank/p5_paper_kernels.jsonl:10,7 7 10 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 16 16 16 13 7 7 10 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 16 16 16 13 7 7 10 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 16 16 16
5,26,199,False,True,False,,False,False,,,0,0,199,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:149|braids-summer-research/results/paper_exact_search/kernel_bank/p5_paper_kernels.jsonl:12,7 7 10 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 16 16 16 13 7 7 10 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 16 16 16 13 7 7 7 10 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 16 16 16 16
5,27,199,True,False,False,,False,True,,199,0,1,199,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:148|braids-summer-research/results/paper_exact_search/kernel_bank/p5_paper_kernels.jsonl:11,7 7 10 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 16 16 16 13 7 7 10 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 16 16 16 13 7 7 7 10 13 4 13 4 13 21 20 13 20 13 10 16 2 13 8 13 8 13 21 11 13 11 13 21 10 13 8 13 8 2 16 16 13 11 13 11 13 10 2 13 8 13 8 13 7 21 11 13 11 13 10 2 13 8 13 8 2 13 11 13 11 13 10
5,28,203,False,True,False,,False,False,,,0,0,203,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:151|braids-summer-research/results/paper_exact_search/kernel_bank/p5_paper_kernels.jsonl:14,7 7 10 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 16 16 16 13 7 7 10 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 16 16 16 13 7 7 7 10 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 2 13 20 13 20 13 21 7 10 13 4 13 4 2 16 16 13 20 13 20 13 21 10 13 4 13 4 13 21 20 13 20 13 10 16 2 13 8 13 8 13 7 21 11 13 11 13 10 16 16 16
5,29,203,False,True,False,,False,False,,,0,0,203,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:150|braids-summer-research/results/paper_exact_search/kernel_bank/p5_paper_kernels.jsonl:13,7 7 10 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 16 16 16 13 7 7 10 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 16 16 16 13 7 7 7 10 13 4 13 4 13 21 20 13 20 13 10 16 2 13 8 13 8 13 21 11 13 11 13 21 10 13 8 13 8 2 16 16 13 11 13 11 13 21 7 10 13 8 13 8 2 13 11 13 11 13 10 2 13 8 13 8 13 7 21 11 13 11 13 10 16 16 16
5,30,270,False,True,False,,False,False,,,0,0,270,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:152|braids-summer-research/results/paper_exact_search/kernel_bank/p5_paper_kernels.jsonl:15,7 7 10 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 16 16 16 13 7 7 10 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 16 16 16 13 7 7 7 10 13 4 13 4 13 21 20 13 20 13 10 16 2 13 8 13 8 13 21 11 13 11 13 21 10 13 8 13 8 2 16 16 13 11 13 11 13 21 7 10 13 8 13 8 2 13 11 13 11 13 10 2 13 8 13 8 13 7 21 11 13 11 13 10 16 16 16 13 21 7 10 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 16 16 2 13
5,31,270,False,True,False,,False,False,,,0,0,270,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:153|braids-summer-research/results/paper_exact_search/kernel_bank/p5_paper_kernels.jsonl:16,7 7 10 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 16 16 16 13 7 7 10 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 16 16 16 13 7 7 7 10 13 4 13 4 13 21 20 13 20 13 10 16 2 13 8 13 8 13 21 11 13 11 13 21 10 13 8 13 8 2 16 16 13 11 13 11 13 21 7 10 13 8 13 8 2 13 11 13 11 13 10 2 13 8 13 8 13 7 21 11 13 11 13 11 16 16 16 13 20 13 4 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 20 16 13 4 3
